userName,score,at,content
Jo Bonifasius,5,2026-05-05 06:57:03,mantab
Ipah Ipah,4,2026-05-05 06:50:54,memudahkan
Akbar Maulana,1,2026-05-05 06:44:42,"verifikasi muka gagal terus, gadanta bgt anying"
Fildza Azril,5,2026-05-05 06:43:18,bagus
Ayu Agustini,5,2026-05-05 06:37:24,keren
Rizky Rizky,5,2026-05-05 06:35:35,bagus banget
Risal mansyur,5,2026-05-05 06:23:27,sangat membantu
Doni Supandi,5,2026-05-05 06:04:54,mantap transaksi mudah cepet TPI jangan ada potongan dong
Elvi Puspita Sari,5,2026-05-05 05:59:27,"mudah di pergunakan, buat transfer lebih mudah"
The king Mamo,5,2026-05-05 05:57:41,mantap di jamin aman selalu
pahril nazty,5,2026-05-05 05:55:39,keren dan simpel
Ben's Fascall,5,2026-05-05 05:54:28,keren nnn
Draco Siekardo,1,2026-05-05 05:48:43,"maaf kami tidak akan gunakan aplikasi gopay lagi selama masalah di aplikasi anda tidak teratasi, kami khawatir keamanan transaksi kami di aplikasi anda"
Vicky Aprillianz,5,2026-05-05 05:44:46,sangat bagus dan sangat memuaskan aplikasi gopay. smoga kedepan nya bisa lebih baik.
HELLO Miu,4,2026-05-05 05:41:20,bagus tapi saat aku ganti hp dan nomer telepon ku Sama yg ku gunain daftar gopay saat aku top up saldo GK ngisi
Handika Putra,5,2026-05-05 05:39:08,"aplikasi sangat bagus dan memudahkan kita untuk melakukan transaksi dan kebutuhan sehari-hari"""
Muhamad Ali,5,2026-05-05 05:36:26,👏👍
Sultan Wijaya,5,2026-05-05 05:27:40,memudahkan bertransaksi
Mas Danker,5,2026-05-05 05:24:19,lancar jaya
Kenzie Alviansyah,5,2026-05-05 05:20:47,bagus
Yunianti Wildan,5,2026-05-05 05:14:59,sangat bagus
Wel Yarnis,5,2026-05-05 05:14:04,saya suka sekali
KENZZO ARTELINNO Lino,4,2026-05-05 05:10:15,diperbaiki bagian transfer nya yh min biar gampang dan praktis
Kaka Kema,5,2026-05-05 05:07:54,"Pakai reff 👉 L B 1 U M A 👈 tanpa spasi saat melakukan pinjaman di gopay,agar cepat di ACC,sangat bantu aku dalam pergi2 kemana2, driver nya juga pada baik2 sih, terus ada fitur lain juga (aku baru nyoba yang ngantar barang aja), terus kan ada kayak teks di update gojek nya itu aku sering baca2 karena lucu banget pliss 🥺, tapi pliss ya gojek kalau kasih driver jangan jauh2 pliss, aku jadi gak bisa sampai ke tujuan dalam keadaan gak telat, jadi pliss ya kasih driver jangan jauh2 ya,"
Ulis,4,2026-05-05 05:04:22,lumayan
DIMAS RM,2,2026-05-05 05:03:06,apa saya mau daftar gopay plus kok kagak kena
muhammad amri,5,2026-05-05 05:01:22,mantap....
Senen,4,2026-05-05 04:56:24,gak punya pengalaman
MOH ZUHRI,5,2026-05-05 04:47:03,good job
Putra Aurum,5,2026-05-05 04:43:39,mantap
Yadi,5,2026-05-05 04:40:44,mantaap
Najma Maulidia,5,2026-05-05 04:37:41,koin nya bisa di pake
Ahmad Fikri,1,2026-05-05 04:35:26,lemot kalo transfer nggak seperti aplikasi yg lain. masih bobrok yg buat sistem
Medan Marelan,5,2026-05-05 04:32:55,lancar
Rofiq Kastelo,5,2026-05-05 04:30:55,Tampa potong angratis biaya pengiriman
Rahmat Rahmathidayattullah,5,2026-05-05 04:18:56,Tetimakasih Atas konfirmasi dan Vertipikasinya
M hafiz 01,5,2026-05-05 04:17:35,dengan adanya gopay sangat membantu saya untuk berbagai perbankan game nya juga mantap
Mahmud Lidya,2,2026-05-05 04:14:30,"saldo tiba"" di blokir tanpa pernah melakukan kesalahan sebelumnya buat jadi favorit transaksi kok malah saldo di blokir padahal gak pernah melakukan transaksi yang aneh"""
solehudin hudin,5,2026-05-05 04:12:15,mantap aplikasi yah kuiris yah bisa juga cuman pinjaman engga ada yang biasa
Nur Noviyanti Bandha,5,2026-05-05 04:09:24,keren
Afrin Radiansyah,5,2026-05-05 04:09:14,Bagus
Ade Chandra,5,2026-05-05 04:03:45,puas puas puas
H DG,3,2026-05-05 04:01:36,"setelah di update, pas buka aplikasi ga ada gambar nya ,cuma ada tulisan aja, sudah saya hapus trs instal lagi tetap begitu juga"
Nur Baety,5,2026-05-05 03:52:31,lancar
Andi Rachmat Alamsyah,1,2026-05-05 03:47:52,"bayar QR bermasalah, bayar pkai QR gagal, 1 menit kemudian muncul notif pembayaran selesai (berhasil) saldo terpotong, tapi notif pembayaran di toko ga ada. hub cs proses lambat, pengembalian saldo 15 hari kerja, hal sepele ko prosesnya ribet & lama banget harus 15 hari kerja"
